ID	Area	MinFeret	EQPC
1	3.723	0.842	2.177216302
2	0.355	0.595	0.672309481
3	1.95	1.263	1.575695755
4	0.709	0.799	0.950119381
5	1.773	1.263	1.502482517
6	1.064	0.842	1.16392735
7	0.355	0.595	0.672309481
8	1.596	1.263	1.425514052
9	0.532	0.421	0.823020922
10	6.205	2.947	2.810774159
11	0.177	0.421	0.474724551
12	0.177	0.421	0.474724551
13	0.177	0.421	0.474724551
14	0.177	0.421	0.474724551
15	10.992	3.368	3.741049195
16	0.177	0.421	0.474724551
17	0.355	0.421	0.672309481
18	0.177	0.421	0.474724551
19	0.355	0.421	0.672309481
20	0.355	0.595	0.672309481
21	0.177	0.421	0.474724551
22	0.355	0.595	0.672309481
23	1.064	1.065	1.16392735
24	6.737	2.947	2.928790674
25	1.064	0.893	1.16392735
26	0.177	0.421	0.474724551
27	0.177	0.421	0.474724551
28	4.255	2.105	2.327581204
29	1.596	1.263	1.425514052
30	1.241	1.263	1.257016418
31	0.177	0.421	0.474724551
32	9.042	3.789	3.393026962
33	6.737	2.947	2.928790674
34	1.064	1.263	1.16392735
35	0.177	0.421	0.474724551
36	0.177	0.421	0.474724551
37	0.177	0.421	0.474724551
38	0.177	0.421	0.474724551
39	0.177	0.421	0.474724551
40	0.532	0.421	0.823020922
41	0.177	0.421	0.474724551
42	0.177	0.421	0.474724551
43	0.177	0.421	0.474724551
44	0.177	0.421	0.474724551
45	0.355	0.421	0.672309481
46	0.177	0.421	0.474724551
47	0.177	0.421	0.474724551
48	26.77	5.053	5.838203715
49	0.177	0.421	0.474724551
50	0.709	0.842	0.950119381
51	0.177	0.421	0.474724551
52	0.177	0.421	0.474724551
53	0.177	0.421	0.474724551
54	0.177	0.421	0.474724551
55	0.177	0.421	0.474724551
56	0.177	0.421	0.474724551
57	0.532	0.753	0.823020922
58	0.177	0.421	0.474724551
59	2.305	1.684	1.713130804
60	4.964	2.526	2.514032836
61	0.355	0.595	0.672309481
62	0.177	0.421	0.474724551
63	0.709	0.817	0.950119381
64	0.177	0.421	0.474724551
65	0.177	0.421	0.474724551
66	0.177	0.421	0.474724551
67	0.177	0.421	0.474724551
68	3.368	2.105	2.07081404
69	0.709	0.842	0.950119381
70	1.064	1.263	1.16392735
71	0.886	1.13	1.062115924
72	0.177	0.421	0.474724551
73	0.177	0.421	0.474724551
74	0.177	0.421	0.474724551
75	0.886	1.191	1.062115924
76	0.177	0.421	0.474724551
77	0.177	0.421	0.474724551
78	1.773	1.489	1.502482517
79	0.177	0.421	0.474724551
80	0.886	0.842	1.062115924
81	0.355	0.421	0.672309481
82	0.709	0.842	0.950119381
83	0.355	0.421	0.672309481
84	0.177	0.421	0.474724551
85	0.177	0.421	0.474724551
86	0.355	0.595	0.672309481
87	0.177	0.421	0.474724551
88	0.177	0.421	0.474724551
89	0.177	0.421	0.474724551
90	1.773	1.684	1.502482517
91	1.064	1.263	1.16392735
92	0.177	0.421	0.474724551
93	0.532	0.842	0.823020922
94	0.355	0.595	0.672309481
95	0.177	0.421	0.474724551
96	5.141	2.105	2.558461354
97	0.886	0.842	1.062115924
98	0.177	0.421	0.474724551
99	2.482	1.786	1.777689666
100	0.177	0.421	0.474724551
101	2.837	2.071	1.900573752
102	0.355	0.421	0.672309481
103	1.418	1.198	1.343671714
104	0.177	0.421	0.474724551
105	0.177	0.421	0.474724551
106	1.596	1.191	1.425514052
107	1.064	1.191	1.16392735
108	7.446	1.684	3.079048822
109	0.177	0.421	0.474724551
110	0.709	0.893	0.950119381
111	4.432	1.982	2.375499455
112	31.911	7.115	6.37419384
113	0.355	0.421	0.672309481
114	0.177	0.421	0.474724551
115	0.177	0.421	0.474724551
116	0.177	0.421	0.474724551
117	0.886	1.13	1.062115924
118	6.382	3.201	2.85058148
119	0.177	0.421	0.474724551
120	6.028	2.105	2.770394913
121	0.532	0.421	0.823020922
122	0.355	0.421	0.672309481
123	33.861	6.591	6.566061546
124	11.701	3.766	3.859815528
125	0.177	0.421	0.474724551
126	0.355	0.595	0.672309481
127	0.177	0.421	0.474724551
128	0.177	0.421	0.474724551
129	0.177	0.421	0.474724551
130	0.886	1.191	1.062115924
131	0.177	0.421	0.474724551
132	0.709	0.842	0.950119381
133	1.596	1.263	1.425514052
134	14.537	4.632	4.302218412
135	0.177	0.421	0.474724551
136	0.177	0.421	0.474724551
137	0.177	0.421	0.474724551
138	0.177	0.421	0.474724551
139	0.177	0.421	0.474724551
140	2.482	1.489	1.777689666
141	0.177	0.421	0.474724551
142	5.673	2.947	2.687580313
143	1.241	1.263	1.257016418
144	0.709	0.893	0.950119381
145	0.177	0.421	0.474724551
146	0.177	0.421	0.474724551
147	0.177	0.421	0.474724551
148	0.886	0.842	1.062115924
149	0.177	0.421	0.474724551
150	0.355	0.421	0.672309481
151	0.177	0.421	0.474724551
152	0.709	0.842	0.950119381
153	0.355	0.421	0.672309481
154	3.014	1.684	1.95896503
155	0.177	0.421	0.474724551
156	0.177	0.421	0.474724551
157	0.177	0.421	0.474724551
158	0.532	0.842	0.823020922
159	3.546	2.526	2.124831152
160	16.31	4.582	4.557031597
161	0.355	0.595	0.672309481
162	0.532	0.753	0.823020922
163	0.532	0.753	0.823020922
164	5.496	2.859	2.645321254
165	0.177	0.421	0.474724551
166	14.715	4.632	4.328477781
167	0.177	0.421	0.474724551
168	1.596	1.263	1.425514052
169	0.709	0.842	0.950119381
170	0.355	0.421	0.672309481
171	0.177	0.421	0.474724551
172	0.177	0.421	0.474724551
173	0.177	0.421	0.474724551
174	0.177	0.421	0.474724551
175	0.177	0.421	0.474724551
176	0.355	0.421	0.672309481
177	0.177	0.421	0.474724551
178	0.355	0.421	0.672309481
179	0.886	0.842	1.062115924
180	0.532	0.421	0.823020922
181	1.596	1.263	1.425514052
182	0.886	0.893	1.062115924
183	0.177	0.421	0.474724551
184	0.177	0.421	0.474724551
185	0.177	0.421	0.474724551
186	0.177	0.421	0.474724551
187	1.241	1.263	1.257016418
188	1.064	1.198	1.16392735
189	0.355	0.421	0.672309481
190	0.177	0.421	0.474724551
191	0.532	0.421	0.823020922
192	0.177	0.421	0.474724551
193	0.177	0.421	0.474724551
194	0.532	0.842	0.823020922
195	0.177	0.421	0.474724551
196	1.95	1.263	1.575695755
197	3.546	2.105	2.124831152
198	1.95	1.695	1.575695755
199	0.177	0.421	0.474724551
200	0.886	1.263	1.062115924
201	0.886	1.263	1.062115924
202	0.177	0.421	0.474724551
203	0.177	0.421	0.474724551
204	0.177	0.421	0.474724551
205	1.241	1.263	1.257016418
206	1.241	1.191	1.257016418
207	0.177	0.421	0.474724551
208	0.177	0.421	0.474724551
209	0.177	0.421	0.474724551
210	4.078	2.526	2.278655495
211	0.177	0.421	0.474724551
212	1.596	1.684	1.425514052
213	0.355	0.595	0.672309481
214	7.269	2.825	3.042232445
215	0.177	0.421	0.474724551
216	0.177	0.421	0.474724551
217	2.837	2.105	1.900573752
218	1.418	1.489	1.343671714
219	0.532	0.421	0.823020922
220	0.177	0.421	0.474724551
221	10.992	3.87	3.741049195
222	0.177	0.421	0.474724551
223	0.355	0.595	0.672309481
224	0.177	0.421	0.474724551
225	0.532	0.753	0.823020922
226	0.886	1.13	1.062115924
227	2.305	1.634	1.713130804
228	0.177	0.421	0.474724551
229	0.177	0.421	0.474724551
230	0.709	0.842	0.950119381
231	0.709	0.842	0.950119381
232	0.532	0.842	0.823020922
233	0.177	0.421	0.474724551
234	1.064	1.191	1.16392735
235	0.177	0.421	0.474724551
236	0.177	0.421	0.474724551
237	0.177	0.421	0.474724551
238	5.141	2.89	2.558461354
239	1.95	1.684	1.575695755
240	0.355	0.421	0.672309481
241	0.177	0.421	0.474724551
242	0.177	0.421	0.474724551
243	0.177	0.421	0.474724551
244	2.659	1.684	1.839984769
245	1.241	1.263	1.257016418
246	0.709	0.893	0.950119381
247	254.404	16.414	17.99770077
248	0.532	0.595	0.823020922
249	0.177	0.421	0.474724551
250	0.355	0.421	0.672309481
251	0.177	0.421	0.474724551
252	2.127	1.263	1.64565504
253	0.177	0.421	0.474724551
254	0.177	0.421	0.474724551
255	4.078	1.997	2.278655495
256	1.241	1.191	1.257016418
257	0.355	0.595	0.672309481
258	0.177	0.421	0.474724551
259	3.014	2.084	1.95896503
260	0.709	0.842	0.950119381
261	1.418	1.263	1.343671714
262	28.72	5.992	6.047101762
263	0.177	0.421	0.474724551
264	7.978	3.368	3.187146857
265	4.787	1.684	2.468804913
266	0.355	0.421	0.672309481
